Judul Artikel,Penulis,Tahun Publikasi
GREEN SYNTHESIS NANOPARTIKEL FE3O4 BERBASIS PASIR ALAM SEBAGAI DEGRADATOR LIMBAH CAIR DENGAN METODE ELEKTROKOAGULASI,GREEN SYNTHESIS NANOPARTIKEL FE3O4 BERBASIS PASIR ALAM SEBAGAI DEGRADATOR LIMBAH CAIR DENGAN METODE ELEKTROKOAGULASI,20221
OCCUPATIONAL HEALTH AND SAFETY KNOWLEDGE ON BEHAVIORAL AWARENESS AT MECHANICAL ENGINEERING LABORATORY UNIVERSITAS NEGERI MAKASSAR,OCCUPATIONAL HEALTH AND SAFETY KNOWLEDGE ON BEHAVIORAL AWARENESS AT MECHANICAL ENGINEERING LABORATORY UNIVERSITAS NEGERI MAKASSAR,20221
READINESS GAPS ON HIGHER EDUCATION IN RURAL AREA FOR RAPIDLY CHANGING CURRICULUM IN INDONESIA AND HOW ITS AFFECT THE SUSTAINABLE DEVELOPMENT GOALS.,READINESS GAPS ON HIGHER EDUCATION IN RURAL AREA FOR RAPIDLY CHANGING CURRICULUM IN INDONESIA AND HOW ITS AFFECT THE SUSTAINABLE DEVELOPMENT GOALS.,20221
DEVELOPMENT OF STUDENT CENTER LEARNING APPROACH IN LEARNING ENGLISH FOR ENGINEERING STUDENT THROUGH LESSON STUDY ACTIVITIES,DEVELOPMENT OF STUDENT CENTER LEARNING APPROACH IN LEARNING ENGLISH FOR ENGINEERING STUDENT THROUGH LESSON STUDY ACTIVITIES,20221
PERANCANGAN ASET VISUAL MATERI AJAR UNTUK GURU SMP 1 BONE-BONE,PERANCANGAN ASET VISUAL MATERI AJAR UNTUK GURU SMP 1 BONE-BONE,20221
IMPLEMENTASI AUGMENTER REALITY 3D SEBAGAI MEDIA PEMBELAJARAN BAHASA ISYARAT DI SLBN 1 PALOPO,IMPLEMENTASI AUGMENTER REALITY 3D SEBAGAI MEDIA PEMBELAJARAN BAHASA ISYARAT DI SLBN 1 PALOPO,20221
DESA MANDIRI PANGAN MELALUI PROGRAM PERTANIAN TERINTEGRASI,DESA MANDIRI PANGAN MELALUI PROGRAM PERTANIAN TERINTEGRASI,20221
KEGIATAN AKSI BERSIH-BERSIH BERSAMA MASYARAKAT DI KOTA PALOPO,KEGIATAN AKSI BERSIH-BERSIH BERSAMA MASYARAKAT DI KOTA PALOPO,20221
PELATIHAN PEMBUATAN AKUN CANVA SEBAGAI APLIKASI PENYUSUNAN LEMBAR KERJA MATEMATIKA SISWA PADA GURU TK AL-AZIZI DI KECAMATAN SOREANG,PELATIHAN PEMBUATAN AKUN CANVA SEBAGAI APLIKASI PENYUSUNAN LEMBAR KERJA MATEMATIKA SISWA PADA GURU TK AL-AZIZI DI KECAMATAN SOREANG,20221
WORKSHOP PEMBUATAN MEDIA PEMBALAJARAN BERBASIS ANIMASI MENGGUNAKAN ADOBE ANIMATE DI SMKN 1 MAKASSAR,WORKSHOP PEMBUATAN MEDIA PEMBALAJARAN BERBASIS ANIMASI MENGGUNAKAN ADOBE ANIMATE DI SMKN 1 MAKASSAR,20221
SOSIALISASI PENGGUNAAN APLIKASI ITK-POLRI EKSTERNAL,SOSIALISASI PENGGUNAAN APLIKASI ITK-POLRI EKSTERNAL,20221
"SOSIALISASI PENGEMBANGAN DAN PENINGKATAN MUTU UMKM DESA MURANTE, KEC. SULI KAB. LUWU","SOSIALISASI PENGEMBANGAN DAN PENINGKATAN MUTU UMKM DESA MURANTE, KEC. SULI KAB. LUWU",20221
PELATIHAN PEMBUATAN MESIN PRES PNEUMATIK,PELATIHAN PEMBUATAN MESIN PRES PNEUMATIK,20221
REVITALISASI PENGETAHUAN ADAB ETIKA DAN MENTAL DALAM LATIHAN DASAR KEPEMIMPINAN SISWA PADA SMAN 15 LUWU,REVITALISASI PENGETAHUAN ADAB ETIKA DAN MENTAL DALAM LATIHAN DASAR KEPEMIMPINAN SISWA PADA SMAN 15 LUWU,20221
